iter	Accuracy	Logloss
0	0.7360709741	0.5981851758
1	0.7390654917	0.5561127166
2	0.7411395341	0.5338138253
3	0.7424833803	0.5207297204
4	0.7433122837	0.5133260046
5	0.7440151272	0.5090650532
6	0.7447738652	0.5062583619
7	0.7453339993	0.5043028352
8	0.745823968	0.5022428407
9	0.7463305862	0.5008209503
10	0.7474294481	0.4989711177
11	0.7478896857	0.4980971717
12	0.7484224672	0.4973394743
13	0.748942167	0.4965279264
14	0.7491681235	0.4956107588
15	0.7495070582	0.4948365606
16	0.750085031	0.4939276434
17	0.7510946995	0.4922184389
18	0.7515751543	0.4913735922
19	0.7519842544	0.490664691
20	0.7525003865	0.4898033436
21	0.752828618	0.4891041793
22	0.7531687419	0.4886213832
23	0.7536908202	0.4880538906
24	0.7538573144	0.4876244247
25	0.7545387515	0.4866909793
26	0.7547611402	0.4861131923
27	0.7554485236	0.4852389489
28	0.7557529701	0.4843385051
29	0.7562988334	0.4836983199
30	0.7569291329	0.4827324304
31	0.7575867851	0.4819132639
32	0.7578020384	0.4813879524
33	0.7585916967	0.4801116701
34	0.7590126892	0.479333867
35	0.7595323891	0.4785794772
36	0.759930786	0.4779532285
37	0.7607906097	0.4773345984
38	0.7613578793	0.4764725448
39	0.7618882824	0.4759240801
40	0.7621665656	0.4753545807
41	0.7626482096	0.4747998353
42	0.76294671	0.4743940428
43	0.7632309394	0.4739974297
44	0.7636222008	0.4733287399
45	0.7641430899	0.4726015912
46	0.7644677536	0.4718979301
47	0.7652538442	0.4711258131
48	0.7660197177	0.4705967852
49	0.7666036367	0.4699070234
50	0.7671994482	0.4691250951
51	0.7674896238	0.4686611411
52	0.767660875	0.4678539043
53	0.7681912781	0.4671518041
54	0.7682745252	0.4667044995
55	0.7689940181	0.465583042
56	0.7699549276	0.4646602626
57	0.7706970162	0.4638014423
58	0.7716174914	0.4626807652
59	0.7725902934	0.4616933578
60	0.7727686801	0.4612340121
61	0.7734798483	0.4605916714
62	0.773643964	0.4603060298
63	0.7740161975	0.4596565536
64	0.7741672316	0.4592217361
65	0.7747356904	0.4585830003
66	0.7748569934	0.4581415677
67	0.7757596299	0.4574131554
68	0.7760759689	0.456813962
69	0.7762650588	0.4562734133
70	0.7769203325	0.4555286117
71	0.7774340861	0.4550152298
72	0.7776778812	0.4545686685
73	0.7780691427	0.453972634
74	0.7782820174	0.4534224226
75	0.77863998	0.4528944724
76	0.7793511482	0.4522475606
77	0.7799576629	0.4514202552
78	0.7804916337	0.4506952621
79	0.781018469	0.4498152211
80	0.7811397719	0.4494766953
81	0.7815060592	0.4490295022
82	0.7819365657	0.4484715979
83	0.7821601437	0.4481080979
84	0.7824919429	0.4476281262
85	0.7832946829	0.4469614432
86	0.7838904944	0.4461044811
87	0.7845743099	0.4451689916
88	0.7851261194	0.4443346252
89	0.7853972671	0.4438821176
90	0.7858123134	0.4434203935
91	0.7861298417	0.442895565
92	0.786398611	0.4424054476
93	0.7868980936	0.4418337184
94	0.7874320644	0.4410879134
95	0.7882336152	0.4401248112
96	0.7882942667	0.4397146705
97	0.7887663967	0.4392540984
98	0.789449023	0.4383717905
99	0.7896297882	0.4380743308
100	0.789930667	0.437756914
101	0.790203004	0.4374203206
102	0.7906228073	0.4371287327
103	0.7910378537	0.4365992588
104	0.7912186188	0.4361590154
105	0.7917276154	0.4355898504
106	0.7918037271	0.4352317392
107	0.7921212554	0.4347499836
108	0.7923353194	0.4345811109
109	0.7925160845	0.4340637524
110	0.7927575012	0.4337182769
111	0.7929287524	0.4333463407
112	0.7932201173	0.4329641844
113	0.7938908511	0.4323407973
114	0.7941417817	0.4319700875
115	0.7945913161	0.4314473031
116	0.7949136014	0.430954993
117	0.7954796818	0.4304488952
118	0.7958424013	0.430051576
119	0.7961789575	0.4293827747
120	0.7965583265	0.4288443071
121	0.7968556376	0.4284151385
122	0.7970673231	0.4281690764
123	0.7972017078	0.4278097387
124	0.7975858337	0.4273709447
125	0.7978962265	0.4269979307
126	0.7983053266	0.4266484043
127	0.7984527929	0.4261058115
128	0.7987501041	0.4256437529
129	0.7990735786	0.4251244247
130	0.7993994315	0.4246353107
131	0.7996872287	0.4243767244
132	0.7999631334	0.4239826385
133	0.8002461736	0.4235389388
134	0.8002616338	0.4232422967
135	0.8008407958	0.4227102584
136	0.8013640634	0.4222112589
137	0.8017089443	0.4218683105
138	0.8019384685	0.4215657964
139	0.802364218	0.4208496483
140	0.8029707327	0.4200842208
141	0.8032406912	0.4196032829
142	0.8034749724	0.4193454027
143	0.80366763	0.4190671566
144	0.8041968437	0.4186284741
145	0.8048592529	0.4180031173
146	0.8053646818	0.4174506389
147	0.8057024272	0.4168554221
148	0.8061162843	0.4164038436
149	0.8064421373	0.4159810672
150	0.8066526336	0.4155563211
151	0.8069059427	0.4150689167
152	0.80727223	0.4146214263
153	0.8075136466	0.4142601933
154	0.8077550632	0.4137723058
155	0.8082914125	0.4132528289
156	0.8085720742	0.4128752066
157	0.8087504608	0.4125495766
158	0.8090989095	0.4120372724
159	0.8096388265	0.4115315834
160	0.8099718149	0.4111932805
161	0.8102060961	0.4109254032
162	0.8103143173	0.4104251029
163	0.8106699014	0.4099102343
164	0.8109886189	0.4094575782
165	0.8113216074	0.4092020764
166	0.8116070261	0.4088473471
167	0.811674813	0.4086761331
168	0.811986395	0.4082297576
169	0.8125322583	0.4077217272
170	0.812696374	0.4074756279
171	0.8128604897	0.4071305984
172	0.8131756395	0.4066631138
173	0.8134919785	0.4062697712
174	0.8138998894	0.4057578758
175	0.8144909439	0.4052055832
176	0.814690737	0.4047761545
177	0.8149297751	0.4042213347
178	0.8151319467	0.4039153273
179	0.8153519569	0.4033934348
180	0.8156932701	0.4029874564
181	0.8162331871	0.4023407676
182	0.816573311	0.4018314737
183	0.8170632797	0.4013181288
184	0.8173831865	0.4009185055
185	0.817483083	0.4006480267
186	0.8176804976	0.4004332195
187	0.8179635378	0.4000418837
188	0.8185201042	0.3994610493
189	0.8186735167	0.3991136041
190	0.8189208796	0.3987833657
191	0.8191171049	0.3986160539
192	0.8192907346	0.3983127966
193	0.8195392867	0.3979607802
194	0.8198639504	0.3974622266
195	0.8199305481	0.3972689744
196	0.8202504549	0.3969873836
197	0.8204490587	0.3966406073
198	0.8207071248	0.3963942851
199	0.8208974039	0.3961730856
200	0.821189958	0.3957780335
201	0.8213279104	0.3954680123
202	0.8215705163	0.3950294041
203	0.8219272896	0.3946753065
204	0.8221211364	0.3944018175
205	0.8223506606	0.3940655214
206	0.8228073305	0.3935920906
207	0.8231581576	0.3932382904
208	0.8234019527	0.3929497128
209	0.8236564511	0.3927120869
210	0.8237420767	0.3922382473
211	0.8239192741	0.3918699531
212	0.8243581053	0.391504149
213	0.8246244961	0.3911229961
214	0.8249051578	0.3908031637
215	0.8250419209	0.3905387798
216	0.8253273395	0.3901274127
217	0.825548539	0.3898656674
218	0.8257590353	0.3895380677
219	0.8260967807	0.3892112113
220	0.8263346296	0.3887354764
221	0.8264975561	0.388470312
222	0.8267021062	0.3881387358
223	0.8268793036	0.3877128004
224	0.827051744	0.3875165379
225	0.8271183417	0.3872851556
226	0.8272027781	0.3871851475
227	0.8274560871	0.3870122983
228	0.8276261491	0.3868129512
229	0.8278342669	0.3863414901
230	0.8280019504	0.3861234495
231	0.8282861798	0.3857569764
232	0.8286631703	0.3854097913
233	0.8287476066	0.3849109776
234	0.829216169	0.3845074149
235	0.829376717	0.3842877392
236	0.8296050519	0.3838211094
237	0.8298524148	0.3833458576
238	0.8302829213	0.3829682353
239	0.8304767681	0.3826941516
240	0.8307336449	0.3823868062
241	0.8307574298	0.3822036626
242	0.8309227348	0.3819703848
243	0.8310297668	0.3817572499
244	0.8311986395	0.3815226343
245	0.8313698907	0.3811066589
246	0.8316802835	0.3807437907
247	0.8317968295	0.380482417
248	0.8318325068	0.3801882277
249	0.8320501385	0.3799858703
250	0.832271338	0.3797273954
251	0.832383127	0.3793592871
252	0.8325829201	0.3789645323
253	0.8329896417	0.3786405003
254	0.8332263013	0.3782523607
255	0.8333832816	0.3779789831
256	0.8337341087	0.3775485137
257	0.8339136846	0.3772035585
258	0.8343560836	0.3768027831
259	0.8346676656	0.376433597
260	0.8347188031	0.3762537238
261	0.835189744	0.3758345895
262	0.8353621844	0.3755749997
263	0.8354787304	0.375327674
264	0.8357451211	0.3749720528
265	0.8359021014	0.3748477024
266	0.8359794023	0.3746477978
267	0.8362208189	0.3743233942
268	0.8366465684	0.3738583625
269	0.8368701464	0.3735643961
270	0.8370651825	0.3731598672
271	0.837232866	0.3728813981
272	0.8376086672	0.3724896907
273	0.8378429484	0.372180673
274	0.8381057714	0.3718376503
275	0.8382520485	0.371623066
