iter	Passed	Remaining
0	66	33087
1	129	32219
2	189	31361
3	249	30885
4	310	30736
5	370	30479
6	430	30316
7	494	30383
8	556	30338
9	619	30335
10	682	30358
11	743	30235
12	804	30125
13	864	30013
14	927	29976
15	992	30012
16	1053	29931
17	1117	29917
18	1180	29877
19	1244	29857
20	1309	29868
21	1372	29815
22	1432	29711
23	1496	29679
24	1560	29649
25	1623	29600
26	1687	29563
27	1748	29468
28	1808	29372
29	1870	29296
30	1931	29218
31	1991	29120
32	2052	29052
33	2116	29007
34	2178	28939
35	2240	28872
36	2303	28821
37	2364	28745
38	2426	28688
39	2492	28669
40	2554	28603
41	2617	28538
42	2682	28510
43	2745	28454
44	2805	28370
45	2869	28316
46	2930	28249
47	2992	28179
48	3052	28097
49	3117	28055
50	3180	28000
51	3241	27930
52	3305	27877
53	3367	27809
54	3430	27753
55	3492	27689
56	3553	27619
57	3616	27564
58	3682	27521
59	3747	27480
60	3811	27429
61	3875	27377
62	3937	27309
63	3998	27237
64	4065	27205
65	4127	27142
66	4189	27074
67	4252	27017
68	4317	26967
69	4382	26918
70	4442	26844
71	4508	26797
72	4571	26739
73	4632	26667
74	4696	26611
75	4758	26546
76	4820	26481
77	4883	26422
78	4946	26362
79	5012	26316
80	5077	26264
81	5139	26197
82	5200	26127
83	5264	26069
84	5327	26012
85	5388	25938
86	5449	25868
87	5513	25811
88	5576	25750
89	5636	25678
90	5700	25618
91	5762	25555
92	5824	25490
93	5890	25441
94	5951	25371
95	6013	25307
96	6081	25264
97	6143	25201
98	6206	25140
99	6270	25080
100	6333	25018
101	6399	24969
102	6460	24902
103	6526	24849
104	6589	24788
105	6650	24720
106	6713	24657
107	6775	24593
108	6838	24529
109	6903	24475
110	6965	24411
111	7028	24349
112	7091	24285
113	7151	24215
114	7215	24155
115	7279	24097
116	7341	24030
117	7402	23962
118	7465	23900
119	7527	23837
120	7591	23779
121	7654	23717
122	7717	23654
123	7780	23591
124	7844	23532
125	7908	23475
126	7971	23413
127	8034	23350
128	8098	23290
129	8161	23228
130	8223	23164
131	8288	23108
132	8352	23047
133	8414	22982
134	8477	22919
135	8538	22852
136	8598	22784
137	8663	22725
138	8725	22661
139	8788	22599
140	8853	22542
141	8918	22484
142	8981	22421
143	9050	22374
144	9112	22308
145	9173	22241
146	9236	22180
147	9300	22120
148	9372	22079
149	9441	22030
150	9508	21976
151	9575	21922
152	9709	22020
153	9825	22076
154	9949	22145
155	10020	22096
156	10100	22067
157	10179	22033
158	10259	22002
159	10344	21981
160	10407	21914
161	10472	21850
162	10534	21780
163	10600	21718
164	10665	21655
165	10727	21585
166	10791	21518
167	10855	21453
168	10920	21388
169	10990	21334
170	11054	21268
171	11121	21208
172	11184	21140
173	11246	21071
174	11313	21011
175	11375	20942
176	11439	20875
177	11503	20808
178	11565	20740
179	11630	20677
180	11694	20611
181	11757	20542
182	11819	20474
183	11885	20412
184	11947	20342
185	12011	20277
186	12087	20231
187	12159	20179
188	12230	20125
189	12301	20070
190	12418	20091
191	12484	20026
192	12550	19963
193	12612	19894
194	12677	19828
195	12739	19759
196	12803	19692
197	12870	19631
198	12933	19562
199	12996	19494
200	13058	19424
201	13125	19363
202	13186	19293
203	13251	19227
204	13312	19157
205	13374	19087
206	13437	19020
207	13501	18954
208	13562	18884
209	13624	18814
210	13687	18746
211	13748	18677
212	13810	18608
213	13876	18544
214	13936	18474
215	13998	18405
216	14061	18337
217	14126	18273
218	14189	18206
219	14255	18143
220	14315	18072
221	14382	18011
222	14445	17943
223	14506	17874
224	14571	17809
225	14631	17738
226	14699	17677
227	14760	17608
228	14821	17539
229	14885	17473
230	14947	17405
231	15011	17340
232	15074	17273
233	15137	17207
234	15198	17138
235	15273	17085
236	15343	17026
237	15451	17009
238	15555	16987
239	15628	16930
240	15700	16873
241	15766	16809
242	15833	16746
243	15908	16690
244	15982	16634
245	16054	16577
246	16118	16510
247	16182	16443
248	16249	16379
249	16319	16319
250	16391	16260
251	16460	16198
252	16527	16135
253	16593	16071
254	16659	16006
255	16730	15946
256	16794	15879
257	16859	15814
258	16924	15748
259	16986	15679
260	17050	15612
261	17118	15550
262	17183	15485
263	17248	15419
264	17311	15351
265	17374	15284
266	17437	15217
267	17500	15149
268	17562	15081
269	17624	15013
270	17687	14946
271	17749	14878
272	17813	14811
273	17876	14745
274	17939	14677
275	18003	14611
276	18078	14554
277	18140	14485
278	18209	14423
279	18271	14356
280	18338	14292
281	18401	14225
282	18463	14157
283	18530	14093
284	18594	14027
285	18656	13959
286	18719	13893
287	18786	13829
288	18850	13762
289	18913	13695
290	18976	13629
291	19038	13561
292	19100	13494
293	19166	13429
294	19230	13363
295	19296	13298
296	19363	13234
297	19427	13169
298	19490	13102
299	19554	13036
300	19617	12969
301	19681	12903
302	19745	12837
303	19811	12773
304	19874	12706
305	19942	12643
306	20008	12578
307	20076	12514
308	20141	12449
309	20203	12382
310	20265	12315
311	20328	12249
312	20396	12185
313	20461	12120
314	20525	12054
315	20590	11989
316	20651	11921
317	20718	11858
318	20782	11792
319	20848	11727
320	20909	11659
321	20987	11601
322	21049	11534
323	21115	11469
324	21178	11404
325	21241	11337
326	21304	11270
327	21369	11205
328	21432	11139
329	21499	11075
330	21562	11009
331	21626	10943
332	21692	10878
333	21758	10813
334	21826	10750
335	21890	10684
336	21953	10618
337	22019	10553
338	22081	10486
339	22143	10420
340	22209	10355
341	22272	10289
342	22335	10223
343	22404	10160
344	22466	10093
345	22529	10027
346	22593	9962
347	22657	9896
