iter	Accuracy	Logloss
0	0.7360709741	0.5981887435
1	0.7390654917	0.5561131997
2	0.7411395341	0.533813082
3	0.7424833803	0.5207293116
4	0.7433122837	0.5133250755
5	0.7440151272	0.5090644957
6	0.7447738652	0.5062574328
7	0.7453339993	0.5043019061
8	0.745823968	0.502241763
9	0.7463282077	0.5008196496
10	0.7474223126	0.4989702629
11	0.7478896857	0.4980960196
12	0.7484224672	0.4973388053
13	0.748942167	0.4965269973
14	0.7491681235	0.4956097182
15	0.7495082474	0.494835743
16	0.750085031	0.493926863
17	0.7510946995	0.4922176585
18	0.7515751543	0.4913727003
19	0.7519771189	0.4906637991
20	0.752502765	0.4898023401
21	0.7528250502	0.4891031759
22	0.7531687419	0.4886205656
23	0.7536908202	0.48805285
24	0.7538573144	0.4876234956
25	0.7545387515	0.4866903847
26	0.7547635187	0.4861125605
27	0.7554485236	0.4852377969
28	0.7557529701	0.4843377246
29	0.7562988334	0.4836977253
30	0.7569374576	0.4827315385
31	0.7575867851	0.4819124835
32	0.7578044169	0.4813873206
33	0.7585928859	0.4801109639
34	0.7590126892	0.4793330866
35	0.7595323891	0.4785787711
36	0.759930786	0.4779523737
37	0.7607882312	0.4773336693
38	0.7613566901	0.4764717644
39	0.7618894716	0.4759234112
40	0.762183215	0.4753536887
41	0.7626482096	0.4747990548
42	0.76294671	0.474393411
43	0.7632309394	0.4739970209
44	0.7636222008	0.4733278851
45	0.7641466576	0.4726011452
46	0.7644677536	0.4718969267
47	0.765252655	0.4711249584
48	0.7660209069	0.4705961534
49	0.7666036367	0.4699063173
50	0.7672018267	0.4691244634
51	0.7674896238	0.4686607323
52	0.767660875	0.4678533468
53	0.7681912781	0.4671509865
54	0.7682745252	0.4667042022
55	0.7689940181	0.4655827075
56	0.7699501707	0.4646598166
57	0.7706970162	0.4638011449
58	0.7716186807	0.4626803935
59	0.7725938611	0.4616928375
60	0.7727698693	0.4612333803
61	0.773478659	0.460591114
62	0.7736427747	0.460305621
63	0.7740173868	0.4596558104
64	0.7741767455	0.4592214388
65	0.7747345012	0.4585824057
66	0.7748558041	0.4581410102
67	0.7757608192	0.4574126351
68	0.7760771582	0.4568135904
69	0.7762793297	0.4562729673
70	0.7769191433	0.4555280543
71	0.7774340861	0.4550148581
72	0.7776790705	0.4545679252
73	0.7780691427	0.4539721137
74	0.7782820174	0.453422051
75	0.778644737	0.4528939149
76	0.779349959	0.4522471518
77	0.7799576629	0.4514197721
78	0.7804904444	0.4506947418
79	0.7810172797	0.4498147008
80	0.7811362042	0.4494763608
81	0.7815060592	0.4490291677
82	0.7819377549	0.448471412
83	0.7821625221	0.4481076519
84	0.7824919429	0.4476277546
85	0.7832946829	0.4469611459
86	0.7838928729	0.4461040723
87	0.7845707422	0.44516862
88	0.7851189839	0.444334142
89	0.7853984564	0.4438815973
90	0.7858182597	0.4434199475
91	0.7861357879	0.4428951934
92	0.7863950432	0.442405076
93	0.7868980936	0.4418333467
94	0.7874391999	0.4410873188
95	0.7882300475	0.4401245139
96	0.7882954559	0.4397145219
97	0.7887663967	0.4392538011
98	0.7894561585	0.4383713446
99	0.7896274097	0.4380738848
100	0.7899330455	0.4377563937
101	0.7902101395	0.4374198747
102	0.7906228073	0.4371283611
103	0.7910378537	0.4365991473
104	0.7911972124	0.4361587924
105	0.7917240477	0.4355898876
106	0.7917954024	0.4352313303
107	0.7921236339	0.434749612
108	0.7923365086	0.4345808508
109	0.792513706	0.4340633808
110	0.7927622581	0.4337180168
111	0.7929346986	0.4333459691
112	0.7932153603	0.4329637384
113	0.7938908511	0.4323404257
114	0.7941417817	0.4319699017
115	0.7945913161	0.4314469686
116	0.7949076552	0.4309544356
117	0.795485628	0.4304485236
118	0.7958328874	0.4300513531
119	0.7961706328	0.4293822916
120	0.7965583265	0.4288438983
121	0.7968592053	0.4284148783
122	0.7970685124	0.4281687419
123	0.7972005185	0.4278093671
124	0.7975858337	0.427370796
125	0.797893848	0.4269977449
126	0.7983053266	0.426647884
127	0.7984646854	0.4261055886
128	0.7987572395	0.4256432698
129	0.7990735786	0.4251241646
130	0.7993994315	0.4246350134
131	0.7997074459	0.4243762784
132	0.7999762151	0.423982527
133	0.8002461736	0.42353853
134	0.8002604445	0.4232422595
135	0.8008455528	0.4227098125
136	0.8013640634	0.4222107757
137	0.8017018088	0.4218680875
138	0.80193609	0.4215656106
139	0.8023665965	0.4208492023
140	0.8029707327	0.4200838492
141	0.8032406912	0.4196030971
142	0.8034749724	0.4193451054
143	0.8036664407	0.419067008
144	0.8042075469	0.4186284369
145	0.8048533067	0.4180026713
146	0.8053646818	0.4174502301
147	0.8057024272	0.4168553106
148	0.8061162843	0.4164036207
149	0.8064421373	0.4159806956
150	0.8066562013	0.4155559495
151	0.8069071319	0.4150683593
152	0.8072710407	0.4146211662
153	0.8075112681	0.4142599703
154	0.8077550632	0.4137719713
155	0.8082902232	0.4132526059
156	0.8085720742	0.4128749465
157	0.8087528393	0.4125493165
158	0.809091774	0.4120369751
159	0.8096388265	0.4115314347
160	0.8099718149	0.4111931318
161	0.8102072853	0.4109249572
162	0.810317885	0.4104248427
163	0.8106663337	0.4099097884
164	0.8109862404	0.4094573923
165	0.8113132827	0.4092018163
166	0.8116034583	0.4088470498
167	0.8116724345	0.4086757614
168	0.8119828273	0.4082293488
169	0.8125322583	0.4077214299
170	0.812696374	0.4074755908
171	0.8128604897	0.4071301152
172	0.8131756395	0.4066628165
173	0.8134896001	0.4062693996
174	0.8139046464	0.4057576528
