iter	Passed	Remaining
0	101	50604
1	162	40393
2	222	36936
3	282	35068
4	345	34181
5	404	33333
6	465	32771
7	527	32433
8	588	32111
9	649	31815
10	709	31534
11	770	31349
12	831	31155
13	893	31010
14	953	30830
15	1016	30751
16	1076	30582
17	1135	30413
18	1197	30308
19	1258	30199
20	1318	30081
21	1379	29965
22	1441	29885
23	1501	29784
24	1562	29687
25	1622	29583
26	1682	29477
27	1742	29371
28	1803	29295
29	1864	29213
30	1924	29123
31	1984	29020
32	2045	28950
33	2105	28862
34	2167	28794
35	2227	28709
36	2288	28636
37	2349	28560
38	2409	28478
39	2469	28402
40	2531	28343
41	2592	28274
42	2653	28199
43	2715	28139
44	2774	28048
45	2833	27964
46	2892	27880
47	2952	27805
48	3013	27738
49	3074	27669
50	3133	27587
51	3192	27507
52	3253	27442
53	3314	27375
54	3376	27316
55	3438	27261
56	3498	27193
57	3560	27131
58	3621	27068
59	3681	26997
60	3741	26926
61	3804	26877
62	3866	26823
63	3928	26762
64	3990	26708
65	4051	26644
66	4114	26589
67	4175	26527
68	4238	26475
69	4302	26427
70	4363	26367
71	4433	26354
72	4498	26314
73	4561	26261
74	4624	26205
75	4686	26148
76	4747	26080
77	4807	26012
78	4870	25953
79	4931	25890
80	4993	25832
81	5058	25783
82	5120	25726
83	5185	25678
84	5248	25623
85	5310	25563
86	5369	25488
87	5430	25424
88	5491	25360
89	5552	25296
90	5614	25232
91	5679	25189
92	5744	25138
93	5809	25090
94	5874	25045
95	5939	24996
96	6002	24939
97	6070	24899
98	6136	24857
99	6198	24794
100	6261	24735
101	6323	24673
102	6390	24631
103	6457	24586
104	6520	24530
105	6586	24480
106	6655	24445
107	6733	24440
108	6799	24390
109	6867	24348
110	6945	24340
111	7018	24314
112	7084	24262
113	7151	24214
114	7229	24201
115	7310	24201
116	7389	24188
117	7476	24202
118	7564	24217
119	7659	24254
120	7760	24309
121	7856	24341
122	7946	24355
123	8034	24363
124	8126	24378
125	8213	24380
126	8302	24383
127	8388	24377
128	8475	24376
129	8559	24362
130	8646	24355
131	8733	24347
132	8821	24343
133	8908	24331
134	8992	24313
135	9079	24299
136	9162	24275
137	9246	24254
138	9332	24238
139	9420	24224
140	9504	24199
141	9591	24182
142	9679	24166
143	9764	24141
144	9850	24117
145	9937	24094
146	10021	24065
147	10108	24040
148	10192	24010
149	10278	23983
150	10369	23966
151	10454	23936
152	10542	23909
153	10632	23889
154	10717	23855
155	10802	23820
156	10886	23784
157	10970	23746
158	11059	23718
159	11144	23681
160	11229	23643
161	11316	23610
162	11400	23569
163	11490	23540
164	11649	23651
165	11829	23802
166	11941	23810
167	12056	23826
168	12159	23814
169	12263	23804
170	12376	23812
171	12485	23808
172	12596	23810
173	12690	23776
174	12798	23769
175	12910	23767
176	13022	23764
177	13134	23760
178	13235	23734
179	13339	23714
180	13446	23699
181	13552	23679
182	13671	23682
183	13776	23658
184	13884	23641
185	13997	23629
186	14116	23627
187	14216	23594
188	14333	23585
189	14445	23568
190	14557	23551
191	14669	23532
192	14800	23542
193	14913	23523
194	15026	23502
195	15132	23470
196	15232	23428
197	15341	23399
198	15456	23379
199	15569	23354
200	15678	23322
201	15786	23289
202	15907	23274
203	16024	23250
204	16135	23219
205	16238	23175
206	16353	23147
207	16473	23125
208	16585	23092
209	16695	23055
210	16801	23013
211	16915	22979
212	17026	22942
213	17136	22902
214	17243	22857
215	17364	22830
216	17473	22788
217	17588	22752
218	17700	22711
219	17810	22668
220	17922	22626
221	18055	22609
222	18152	22547
223	18248	22484
224	18366	22447
225	18472	22396
226	18587	22354
227	18698	22307
228	18812	22262
229	18922	22213
230	19031	22161
231	19157	22130
232	19253	22063
233	19357	22005
234	19470	21956
235	19575	21897
236	19691	21852
237	19803	21800
238	19916	21750
239	20031	21700
240	20146	21651
241	20261	21600
242	20377	21551
243	20491	21499
244	20602	21443
245	20720	21394
246	20836	21342
247	20949	21287
248	21061	21230
249	21177	21177
250	21284	21115
251	21386	21047
252	21505	20995
253	21627	20946
254	21731	20879
255	21843	20819
256	21955	20759
257	28027	26289
258	28131	26176
259	28207	26037
260	28285	25901
261	28353	25756
262	28425	25615
263	28502	25479
264	28585	25349
265	28670	25221
266	28774	25110
267	28860	24983
268	28934	24846
269	29009	24711
270	29079	24572
271	29182	24461
272	33052	27483
273	33203	27386
274	33313	27256
275	33394	27103
276	33473	26948
277	33553	26794
278	33633	26641
279	33718	26493
280	33802	26343
281	33885	26195
282	33969	26046
283	34060	25904
284	34151	25763
285	34236	25617
286	34322	25472
287	34405	25326
288	34493	25183
289	34582	25042
290	34668	24899
291	34755	24757
292	34839	24613
293	34917	24465
294	34993	24317
295	35072	24171
296	35167	24036
297	35256	23898
298	35347	23762
299	35439	23626
300	35536	23494
301	35622	23354
302	35716	23221
303	35800	23081
304	35888	22944
305	35976	22808
306	36063	22671
307	36155	22538
308	36246	22404
309	36334	22269
310	36421	22133
311	36512	22001
312	36596	21864
313	36662	21717
314	36728	21570
315	36795	21425
316	36863	21280
317	36928	21135
318	36993	20990
319	37061	20847
320	37129	20704
321	37196	20562
322	37265	20420
323	37335	20280
324	37402	20140
325	37471	19999
326	37537	19859
327	37604	19719
328	37671	19580
329	37739	19441
330	37808	19304
331	37874	19165
332	37945	19029
333	38014	18893
334	38082	18757
335	38149	18620
336	38218	18485
337	38285	18349
338	38352	18214
339	38421	18080
340	38491	17947
341	38557	17813
342	38624	17679
343	38693	17547
344	38760	17414
345	38830	17283
346	38902	17153
347	38970	17021
348	39036	16889
349	39106	16759
350	39174	16629
351	39240	16498
352	39307	16368
353	39390	16245
354	39456	16115
355	39524	15987
356	39596	15860
357	39693	15744
358	39786	15626
